AU01677 	12 M Routine Maint. of Grant St Vent Station Fan
AU01677 	"   (d) Check all cables for security of fixings, damage"
AU01677 	",,  especially at the site of any functional penetrations.[_ _]"
AU01677 	   (e) Remove the inspection hatch on the side of the motor
AU01677 	",,   housing - Check for any grease discharged from the motor"
AU01677 	",,   bearings, excessive amounts of grease as well as any"
AU01677 	",,   noticeable colour change in the discharged grease.  Check"
AU01677 	",,   that the grease nipples are clean.  [_ _]"
AU01677 	   (f ) Examine both the motor connections and the motor
AU01677 	",,   internals for evidence of overheating.   [_ _]"
AU01677 	   (g) Carry out an insulation/resistance test of the motor and
AU01677 	",,   heater windings."
AU01677 	",,,,(i) Ensure fan motor is isolated."
AU01677 	",,,,(ii) At a suitable location, for each fan motor"
AU01677 	",,,,  Note: The motor winding heater for axial fans have been"
AU01677 	",,,,  isolated and are to remain isolated."
AU01677 	",,,,,,(a) The motor is disconnected as above instruction."
AU01677 	",,,,,,(b) Apply a reliable bridge to the three motor"
AU01677 	",,,,,,,,winding terminals."
AU01677 	",,,,(iii) Carry out an Insulation resistance test between the"
AU01677 	",,,,,,  motor windings and the winding heater bridge.  Record the result"
AU01677 	"in the """"Work Done"""" area."
AU01677 	",,,,(iv) Bridge the motor windings and the winding heater"
AU01677 	",,,,,, connections and carry out an Insulation resistance"
AU01677 	",,,,,, test between this common bridge and earth.  Record"
AU01677 	",,,,,, the result in the """"Work Done"""" area."
AU01677 	",,,,(v) Remove all temporary connections."
AU01677 	        (vi) Remove supply lines to the motor and carry out an
AU01677 	",,,,,, insulation resistance test on the motor windings,"
AU01677 	",,,,,, Between phase winding to phase winding and between"
AU01677 	",,,,,, each phase winding and earth.  Record results in the"
AU01677 	",,,,,, area of the Job sheet below"
AU01677 	",,,,(vii) If the heater was connected on arrival, then"
AU01677 	",,,,,, re-instate the heater connections,otherwise leave"
AU01677 	",,,,,, the motor winding heater terminations isolated."
AU01677 	",,,,(viii) Ensure fan motor is serviceable on completion."
AU01677 	",,,,(x)  Where any insulation resistance reading is less than"
AU01677 	",,,,,, 2 megohm, then Record n the area of the Job Sheet"
AU01677 	",,,,,, below and raise a new job for the outstanding works."
AU01677 	",,,,,, Include the Job Number of the new job in the"
AU01677 	",,,,,, Customer Order No.field as well as in the alternate."
AU01677 	",,,,,, Notify the Team Leader or his representative of any"
AU01677 	",,,,,, outstanding works."
AU01677 	   (h) Manually check the operation of the Rotork actuator and
AU01677 	",,   it's linkages, for the exit dampers, using the local"
AU01677 	",,   control panel switch.   [_ _]"
AU01677 	   (i) Always ensure the entry cowl safety grill to the fan is
AU01677 	",,   secured, in it's place, when the fan is unattended."
AU01677 	9. Running Fan Check and Lubrication
AU01677 	",,CAUTION:  ALLOW THE MOTOR TO COOL FOR ONE HOUR IF A START IS"
AU01677 	",,REQUIRED AFTER FOUR STARTS IN ONE HOUR."
AU01677 	"   (a) On completion of  the Static Fan Checks, return to"
AU01677 	",,   substation 1, then remove the safety tags, in accordance"
AU01677 	",,   with TMI-3012-SA-0103, then remove the fan motor isolation"
AU01677 	",,   at  the MCC."
AU01677 	",,  Note:  Ensure that only one non-operational fan is isolated"
AU01677 	",,  at any one time."
AU01677 	   (b) Switch the AUTO/OFF/MAN selector switch from the OFF
AU01677 	",,   position to the MANUAL and the REMOTE/OFF/LOCAL selector"
AU01677 	",,   switch from the REMOTE position to the LOCAL position."
AU01677 	"   (c) Return to the ventilation room; there start the fan, that"
AU01677 	",,   is being maintained, by releasing the local STOP"
AU01677 	",,   pushbutton at the fan and then pressing START pushbutton."
AU01677 	"   (d) Check that the outlet damper opens immediately the fan ,,"
AU01677 	  starts.
AU01677 	"   (e) Add Shell Stamina RL2 grease or equivalent, to the"
AU01677 	",,   bearings, only while the fan is running.  DE = 100gr,"
AU01677 	",,   NDE = 120gr."
AU01677 	"   (f) Remove the old grease, that was discharged from the"
AU01677 	",,   bearings, using the retrieval system.  Examine the grease"
AU01677 	",,   for changes of colour.   [_ _]"
AU01677 	   (g) Check the fan for any abnormal noises or vibrations.[_ _]
AU01677 	   (h) Shutdown the fan motor using the local EMERGENCY STOP
AU01677 	  (i)  Release the EMERGENCY STOP pushbutton.
AU01677 	"10. On completion, collect all tools and materials, to leave the"
AU01677 	",,fan room, again equalize the corridor and fan room pressures."
AU01677 	"11. (a)  In Substation No 1 remove all tags, in accordance with"
AU01677 	",,,, TMI-3012-SA-0103, then remove the motor isolation for"
AU01677 	",,,, all the fans at the MCC.   Return all the"
AU01677 	",,,, MOTE/OFF/LOCAL selector switches to the REMOTE position"
AU01677 	",,,, and the AUTO/OFF/MAN fan selector switches to the AUTO"
AU01677 	",,,, position."
AU01677 	",,(b)  Check that at least one fan is operational and that no"
AU01677 	",,,, alarms are present"
AU01677 	12. Record anything outside normal parameters in the area of the
AU01677 	",,,, Job Sheet below."
AU01677 	13. Notify the control room on completion of the job.
AU01677 	Record Readings Below
AU01677 	Results Insulation Resistance Tests
AU01677 	",,Fan ID,,,,,,|"
AU01677 	"Heater to Winding ,,|,,,,,,,,,,megohms"
AU01677 	"Winding & Heater ,,|,,,,,,,,,,megohms"
AU01677 	"Phase to Phase ,,,,|,,,,,,,,,,ohms"
AU01677 	"Phase to Earth,,,,|,,,,,,,,,,megohms"
AU01677 	****Complete the following CityLink Asset Condition Rating****
AU01677 	ASSET CONDITION RATING
AU01677 	Rate the Condition of the Asset.
AU01677 	Note:
AU01677 	[ 1 ] - Excellent.
AU01677 	        Asset is new or in as new condition
AU01677 	[ 2 ] - Good.
AU01677 	"        Asset is fully operational, well presented, performing"
AU01677 	        it's intended function.
AU01677 	[ 3 ] - Fair.
AU01677 	        Asset is functional and operational but showing signs of
AU01677 	        deterioration that will result is some intervention
AU01677 	        works possibly within the next 12 months. May not be
AU01677 	        performing it's intended function to the full degree.
AU01677 	[ 4 ] - Poor.
AU01677 	        Asset is functional and operational but showing major
AU01677 	        signs of deterioration that will require intervention
AU01677 	        works within the next 3 months. Not performing it's
AU01677 	        intended function.
AU01677 	CONDITION RATING SCORE [_ _]
AU01677 	"If the condition of asset is 3 or 4, record your observations"
AU01677 	in the Work Done area of the job sheet(photograph if possible).
AU02117 	06 M clean of tunnel lighting photometers
AU02117 	
AU02117 	At the photometer **COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU02117 	1. Notify the TCRO prior to commencing this job.
AU02117 	2. This job is to be carried out during a tunnel shut.
AU02117 	"3. Clean the external surfaces, including glass window, of"
AU02117 	   accumulated dirt and dust.  Use Rain-x and soft cloth.
AU02117 	"4. Visually inspect the mounting components for damage,"
AU02117 	   corrosion (Remove and repair any corrosion found) and
AU02117 	   security of fixings.
AU02117 	5. Visually check the cabling to the photometer for damage or
AU02117 	   any required repairs (Repairs as required).
AU02117 	6. Check the general alignment of the Photometer for accuracy.
AU02117 	Methodology for Alignment Check:
AU02117 	**The alignment point needs to be defined by taping the distance
AU02117 	"betweenthe walls of the Tunnel entrance to identify the centre, then"
AU02117 	taping from the pavement upto 1.5m above. The target needs to be
AU02117 	"this point, taking into account that the laser beam would be generated"
AU02117 	parallel to the centre of the photometer.
AU02117 	"At the photometer, a laser level needs to be placed on top of the"
AU02117 	photometer and the unit then needs to be adjusted until the beam hits
AU02117 	the target. The process must be repeated with the laser placed on each
AU02117 	"side of the unit, meaning the adjustment on the target**"
AU02117 	7. Record any outstanding works required.
AU02117 	8. Raise a new job sheet for any outstanding works.
AU02117 	9. Notify the TCRO on completion of the Job
AU02117 	****Complete the following CityLink Asset Condition Rating****
AU02117 	ASSET CONDITION RATING
AU02117 	Rate the Condition of the Asset.
AU02117 	Note:
AU02117 	[ 1 ] - Excellent.
AU02117 	        Asset is new or in as new condition
AU02117 	[ 2 ] - Good.
AU02117 	"        Asset is fully operational, well presented, performing"
AU02117 	        it's intended function.
AU02117 	[ 3 ] - Fair.
AU02117 	        Asset is functional and operational but showing signs of
AU02117 	        deterioration that will result is some intervention
AU02117 	        works possibly within the next 12 months. May not be
AU02117 	        performing it's intended function to the full degree.
AU02117 	[ 4 ] - Poor.
AU02117 	        Asset is functional and operational but showing major
AU02117 	        signs of deterioration that will require intervention
AU02117 	        works within the next 3 months. Not performing it's
AU02117 	        intended function.
AU02117 	CONDITION RATING SCORE [_ _]
AU02117 	"If the condition of asset is 3 or 4, record your observations"
AU02117 	in the Work Done area of the job sheet(photograph if possible).
AU02117 	..................................
AU02117 	FOR OFFICE USE ONLY - 1.19 ALL TUNNEL LIGHTING
AU02101 	06 M Inspect of HV RMU batteries and chargers
AU02101 	Vacuum Cleaner and Thermometer required for this task
AU02101 	
AU02101 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU02101 	1.  Notify the TCRO prior to commencing this job.
AU02101 	2.  Refer to M Brodribb Model D5414 24V 10A DC Charger
AU02101 	    System manual M-STG-EL-24028.
AU02101 	3.  Check the RMU battery charger in the sub-station by:
AU02101 	   (a) Check general appearance and cleanliness of the battery
AU02101 	      charger area and ventilation  louvres.  Remove accumulated
AU02101 	"      dirt and debris,  Clean cabinet by vacuuming if"
AU02101 	    required.  [_ _]
AU02101 	   (b) Check charger output current and that out put voltage is
AU02101 	     present.  Record Volt and current levels in Work Done Area
AU02101 	      ofthe job sheet.  [_ _]
AU02101 	"   (c) Check batteries for cracks, bulges and or"
AU02101 	    damage.  [_ _]
AU02101 	   (d) Check the terminals and connections for tightness or
AU02101 	         corrosion. Remedy as required   [_ _]
AU02101 	   (e)  Check that the float voltage is within 27.9V to 28.8V
AU02101 	       range.  [_ _]
AU02101 	4.  Check that the Battery temperature is no more than 5 deg. C
AU02101 	     above Ambient  [__]
AU02101 	5.  Record in the Work Done area of the job sheet  any defect or
AU02101 	    outstanding works requiring further attention.  Raise a job
AU02101 	     sheet for any outstanding works and notify the Team leader
AU02101 	    or his representative.  Include in the Related Jobs field to
AU02101 	"    thenew and this job, the job number of the alternate job."
AU02101 	6.  Notify the TCRO when the job is completed.
AU02101 	****Complete the following CityLink Asset Condition Rating****
AU02101 	ASSET CONDITION RATING
AU02101 	Rate the Condition of the Assets.
AU02101 	Note:
AU02101 	[ 1 ] - Excellent.
AU02101 	        Asset is new or in as new condition
AU02101 	[ 2 ] - Good.
AU02101 	"        Asset is fully operational, well presented, performing"
AU02101 	        it's intended function.
AU02101 	[ 3 ] - Fair.
AU02101 	        Asset is functional and operational but showing signs of
AU02101 	        deterioration that will result is some intervention
AU02101 	        works possibly within the next 12 months. May not be
AU02101 	        performing it's intended function to the full degree.
AU02101 	[ 4 ] - Poor.
AU02101 	        Asset is functional and operational but showing major
AU02101 	        signs of deterioration that will require intervention
AU02101 	        works within the next 3 months. Not performing it's
AU02101 	        intended function.
AU02101 	OVERALL CONDITION RATING SCORE FOR THE RING MAIN UNIT
AU02101 	",,SCORE [_ _]"
AU02101 	"If the condition of asset is 3 or 4, record your observations"
AU02101 	in the Work Done area of the job sheet(photograph if possible).
AU02101 	",,Note and comment below any items requiring immediate TSL ,,attention."
AU02101 	...................................
AU02101 	FOR OFFICE USE ONLY - 5.3 HV RING MAIN UNITS
AU02103 	12 M Inspect of HV RMU batteries and chargers
AU02103 	
AU02103 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU02103 	1.  Notify the TCRO prior to commencing this job.
AU02103 	2.  Refer to M Brodribb Model D5414 24V 10A DC Charger System
AU02103 	    manual M-STG-EL-24028.
AU02103 	3.  Carry out the following checks in co-operation with the HV
AU02103 	    sub-contractor.
AU02103 	    Check the RMU battery charger in the sub-station by:
AU02103 	"    (a) Initiate a """"Low Voltage"""" alarm and ""Charger Fail"""
AU02103 	    alarm by switching OFF the charger with full load applied to
AU02103 	    the charger.   [_ _]
AU02103 	"    (b) A ""Charger Fail"" alarm (Red LED) should occur.  [_ _]"
AU02103 	"    (c) A ""Low Voltage"" alarm should occur on.  [_ _]"
AU02103 	"    (d) Turn on the supply to the Charger, alarm should be"
AU02103 	    reset.  [_ _]
AU02103 	    (e) Check that all pc cards are tight in sockets.  [_ _]
AU02103 	"    (f) Clean and remove any accumulated dirt, debris, vermin"
AU02103 	       etc.  [_ _]
AU02103 	4.  Record in the Work Done area of the job sheet any
AU02103 	    outstanding works requiring further
AU02103 	    attention.  Raise a job sheet for any outstanding works.
AU02103 	5.  Notify the TCRO when the job is completed.
AU01845 	06 M Inspect & Clean the Tunnel air velocity and Temp sensor
AU01845 	
AU01845 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01845 	1 Notify the control room prior to commencing this job.
AU01845 	2. Reference manual Erwin Sick Operating Instructions - Flowsic 200
AU01845 	 AirVelocity of Flow
AU01845 	   Measuring Device - [M-STG-EL-24004].
AU01845 	"3. Set up the lane closure, as per Work Instruction, Traffic Control"
AU01845 	TMI-3012-OP- 0002 and
AU01845 	   Translink Procedure PR-RS-IR-059 Plan 23 & 24 (or to be defined).
AU01845 	4. Tunnel Sending/Receiving sensor units.
AU01845 	    WARNING:
AU01845 	    DO NOT LOOK INTO THE LASER LIGHT USED TO ALIGN TRANSDUCERS.  THE
AU01845 	LASER
AU01845 	    LIGHT CAN CAUSE DAMAGE TO EYES.
AU01845 	    DO NOT PUT YOUR EARS INTO THE ULTRASONIC SIGNAL PATH.  ULTRASONIC
AU01845 	    SIGNALS CAN DAMAGE HEARING.  IT IS ADVISED TO WEAR HEARING
AU01845 	PROTECTION
AU01845 	    WHEN WORKING IN THE VICINITY OF THE TRANSDUCERS.
AU01845 	    CAUTION:
AU01845 	    FIT PROTECTIVE CAPS TO THE SAFETY TUBES OF THE SENDER AND RECEIVER
AU01845 	    DURING CLEANING.
AU01845 	    PROTECT THE ULTRASONIC  TRANSDUCER FROM WATER AT ALL TIMES.
AU01845 	    DO NOT TOUCH THE ULTRASONIC TRANSDUCERS EITHER BY HAND OR WITH ANY
AU01845 	    CLEANING MEDIUM.
AU01845 	    (a) Inspect both the sending and receiving for damage and or
AU01845 	corrosion.  [_ _]
AU01845 	"    (b) Using a cap, cover the safety tube that protects the transducer,"
AU01845 	then clean the external
AU01845 	"          surfaces of the Flowsic 200 with a cleaning cloth, optical"
AU01845 	cleaning fluid.  [_ _]
AU01845 	"    (c) Remove the safety tube cap, then clean the internal surfaces of"
AU01845 	the safety tube as well
AU01845 	           as the transducer surface using a gentle stream of air ONLY.
AU01845 	  [_ _]
AU01845 	    (d) Check that the cable connection to the sensor unit is tight and
AU01845 	that the cable is suitably
AU01845 	          supported and secure.  [_ _]
AU01845 	    (e) Check that the mounting bracket and the bolts holding the unit
AU01845 	are secure.  If any of the
AU01845 	"          bolts need to be tightened, the alignment of the sensors must"
AU01845 	be checked.  Alignment
AU01845 	          is confirmed using a laser pointer and must be within the
AU01845 	range of 1? in all planes.   [__]
AU01845 	    ( f) Check with the control room that system is functioning
AU01845 	correctly prior to leaving the
AU01845 	          unit.  [_ _]
AU01845 	"5.  Record anything outside normal parameters in the """"Work Done """" area"
AU01845 	of the job sheet.
AU01845 	"6.  Notify the Control room on completion of the job."""
AU01845 	****Complete the following CityLink Asset Condition Rating****
AU01845 	ASSET CONDITION RATING
AU01845 	Rate the Condition of the Asset.
AU01845 	Note:
AU01845 	[ 1 ] - Excellent.
AU01845 	        Asset is new or in as new condition
AU01845 	[ 2 ] - Good.
AU01845 	"        Asset is fully operational, well presented, performing"
AU01845 	        it's intended function.
AU01845 	[ 3 ] - Fair.
AU01845 	        Asset is functional and operational but showing signs of
AU01845 	        deterioration that will result is some intervention
AU01845 	        works possibly within the next 12 months. May not be
AU01845 	        performing it's intended function to the full degree.
AU01845 	[ 4 ] - Poor.
AU01845 	        Asset is functional and operational but showing major
AU01845 	        signs of deterioration that will require intervention
AU01845 	        works within the next 3 months. Not performing it's
AU01845 	        intended function.
AU01845 	CONDITION RATING SCORE [_ _]
AU01845 	"If the condition of asset is 3 or 4, record your observations"
AU01845 	in the Work Done area of the job sheet(photograph if possible).
AU01678 	12 M Routine Maint. of Swan St  Vent Station Fans
AU01678 	
AU01678 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01678 	WARNING:
AU01678 	1.    CHECKS SHOULD NOT BE CARRIED OUT IF MORE THAN 1 FAN IS OPERATING
AU01678 	IN THE
AU01678 	      SWAN ST SHAFT VENT STATION.
AU01678 	2.    NO PERSON SHALL ENTER THE VENTILATION FAN ROOM ALONE.
AU01678 	      TWO OR MORE PEOPLE MUST BE PRESENT AT ALL TIMES WHEN WORK IS BEING
AU01678 	       CARRIED OUT IN ANY CHAMBER OF THE VENT STATION
AU01678 	3.    TAKE HEED OF NOTICES ON THE AIRLOCK DOORS.
AU01678 	"1. Obtain a Permit to Work for entry to substation 2,  the Swan Street"
AU01678 	ventilation rooms and to
AU01678 	    interrupt operations.
AU01678 	2.  Inform the control room prior to commencing work.   Maintain radio
AU01678 	contact at all times.
AU01678 	"3.  Reference manual:  ABB Installation, Operating & Maintenance"
AU01678 	Instructions Manual
AU01678 	    (M-STG-VE-26058)
AU01678 	4. Carry out the monthly checks on the PMCS in the Traffic Control Room.
AU01678 	5. Access to the ventilation fan is via ladders in the Swan Street Shaftlift
AU01678 	well and Substation 2
AU01678 	    is accessed from Swan Street.
AU01678 	"6.(a) On the MCC in Substation No 2,  select ONE axial fan to be"
AU01678 	operational while
AU01678 	         the maintenance is being carried out  on other fans.  Switch
AU01678 	the nominated
AU01678 	         AUTO/OFF/MAN selector switch to the MANUAL position and the
AU01678 	REMOTE/OFF/LOCAL
AU01678 	"         selector switch to the REMOTE postion, then press the START"
AU01678 	pushbutton.
AU01678 	"   (b) Switch ALL non-operational axial fans OFF, by switching the"
AU01678 	AUTO/OFF/MAN selector
AU01678 	         switches to the OFF position.  All electrical isolation
AU01678 	procedures are to be in
AU01678 	"         accordance to Work Instruction TMI -3012-SA -0103,  Low"
AU01678 	VoltageIsolation Procedures.
AU01678 	7. In Substation No 2
AU01678 	   (a) Measure the insulation resistance of the motor stator windings
AU01678 	"and record in the """"Work"
AU01678 	"         Done"""" section of the Job Sheet.   [_ _]"
AU01678 	   (b) Measure the current of the anti-condensation heater and compare
AU01678 	with the rated current.
AU01678 	   (c) Inspect the motor control panel both internally and externally
AU01678 	"for damage, corrosion,"
AU01678 	"         evidence of overheating,  ingress of moisture, dust and grime"
AU01678 	(clean or repair if required).
AU01678 	"8. (a) The fan rooms which are on levels 4, 5 & 6 are accessed from the"
AU01678 	         Note: HEARING AND EYE PROTECTION MUST BE WORN WHEN IN ANY
AU01678 	VENTILATION
AU01678 	                     FAN CHAMBER.
AU01678 	"    (b) Measure the CO levels in the fan rooms, through the doorway,"
AU01678 	prior to entering the fan
AU01678 	"          room, then at regular intervals during the fan checks."
AU01678 	    (c)  WARNING:  DO NOT PLACE ANY PART OF THE BODY OR MATERIALS WITHIN
AU01678 	                                1 METRE OF AN OPERATING FAN INLET GUARD.
AU01678 	                                 Airflow velocity nears 35 km/h.
AU01678 	9. Static Fan Check.
AU01678 	    (a) Ensure that the fan selected for maintenance is electrically
AU01678 	"isolated,  press the START"
AU01678 	          pushbutton on the local push button station at Level 5.  The
AU01678 	fan should not start.
AU01678 	    (b) On level 5 open fan blade inspection hatch.
AU01678 	    (c) Examine the impeller for
AU01678 	          (i) Dirt and foreign matter on the blades (clean if required)
AU01678 	  [_ _]
AU01678 	          (ii) Wear or damage on the blade tips   [_ _]
AU01678 	          (ii) Wear or damage on the blade leading edges   [_ _]
AU01678 	          (iv) Loose bolts and or blade fixings at the hub   [_ _]
AU01678 	"    (d) Examine the electrical cable for security of fixings, damage dueto"
AU01678 	"fraying, scuffing or"
AU01678 	          similar and for damage at locations where the cables
AU01678 	penetratepanels or
AU01678 	          housings.    [_ _]
AU01678 	"    (e) Check any grease discharged from the motor bearings, since the"
AU01678 	last lubrication is not
AU01678 	           excessive.   [_ _]
AU01678 	    (f ) Examine the discharged grease for any noticable colour change.
AU01678 	 Ensure that the grease
AU01678 	          nipples are clean.  [_ _]
AU01678 	    (g)  Inspect the cable connections to the motor for evidence of
AU01678 	overheating.  [_ _]
AU01678 	    (h) Carry out an insulation/resistance test of the motor and heater
AU01678 	windings.
AU01678 	          (i) Ensure fan motor is isolated.
AU01678 	"          (ii) At a suitable location, for each fan motor"
AU01678 	               Note: The motor winding heater for axial fans has been
AU01678 	isolated and is to remain
AU01678 	               isolated.
AU01678 	               (a) Disconnect neutral from the motor winding heater
AU01678 	(where connected) and
AU01678 	                     bridge heater terminals.
AU01678 	               (b) Apply a reliable bridge to the three motor winding
AU01678 	terminals.
AU01678 	         (iii) Carry out an Insulation resistance test between the
AU01678 	motorwindings and the
AU01678 	"                winding heater bridge.  Record the result in the """"Work"
AU01678 	"Done"""" area."
AU01678 	         (iv) Bridge the motor windings and the winding heater
AU01678 	connections and carry out
AU01678 	               an Insulation resistance test between this common bridge
AU01678 	and earth.  Record
AU01678 	"               the result in the """"Work Done"""" area."
AU01678 	        (v) Remove all temporary connections.
AU01678 	        (vi) Remove supply lines to the motor and carry out an
AU01678 	insulation resistance test
AU01678 	"              on the motor windings, Between phase winding to phase"
AU01678 	winding and between
AU01678 	              each phase winding and earth.  Record results in the Work
AU01678 	Done area of the
AU01678 	             Job sheet.
AU01678 	"        (vii) If the heater was connected on arrival, then re-instate"
AU01678 	"the heater connections,"
AU01678 	              otherwise leave the motor winding heater terminations
AU01678 	isolated.
AU01678 	        (viii) Ensure fan motor is serviceable on completion.
AU01678 	        (x)  Where any insulation resistance reading is less than 2
AU01678 	"megohm, then Record"
AU01678 	"                 in the """"Work Done""""area of the Job Sheet and raise a"
AU01678 	new job for the outstanding
AU01678 	                 works.  Include the Job Number of the new job in the
AU01678 	"Related Job"""" field as well"
AU01678 	                 as in the alternate.  Notify the Team Leader or his
AU01678 	representative of any
AU01678 	                 outstanding works.
AU01678 	"    (i) On leaving the fan inlet cowl grill hatch, replace the hatch"
AU01678 	cover immediately.  [_ _]
AU01678 	    (j)  Manually check the operation of the Rotork actuator and
AU01678 	associated linkages that
AU01678 	"          operate the exit dampers, use the local control panel switch."
AU01678 	    (k ) Remove any mechanical interlocks blocking the fan operation.
AU01678 	 [_ _]
AU01678 	10. Running Fan Check and Lubrication
AU01678 	    CAUTION:  ALLOW THE MOTOR TO COOL FOR ONE HOUR IF A START IS
AU01678 	REQUIRED
AU01678 	                         AFTER FOUR STARTS IN ONE HOUR.
AU01678 	"     (a) When the Static Fan Checks are complete, return to substation"
AU01678 	3and remove the
AU01678 	"           safety tags, in accordance with TMI-3012-SA-0103, then removethe"
AU01678 	fan motor isolation
AU01678 	           at the MCC.
AU01678 	"           Note:  Ensure that all non-operational fans are isolated, in"
AU01678 	accordance
AU01678 	"                      TMI-3012-SA-0103, and that the only fan not"
AU01678 	"isolated, is the fan to be maintained."
AU01678 	     (b) Switch the AUTO/OFF/MAN selector switch from the OFF position
AU01678 	to the MANUAL
AU01678 	"           position, then switch the REMOTE/OFF/LOCAL selector switch"
AU01678 	from the REMOTE
AU01678 	           position to the LOCAL position.
AU01678 	"     (c) Return to the ventilation room and start the fan, that is"
AU01678 	"beingmaintained, by releasing"
AU01678 	"           the Local STOP pushbutton, then pressing the START"
AU01678 	           Note: The motor must not be started more that four times in
AU01678 	an hour.
AU01678 	     (d) Check that the outlet damper opens immediately the fan starts.
AU01678 	"     (e) Lubricate the motor bearings with fresh grease, while the motor"
AU01678 	running.
AU01678 	           DE = 100 gr / NDE - 120 gr  Use Shell Stamina RL2 grease or
AU01678 	equivalent only.
AU01678 	"     (f ) Remove the old grease, that was discharged from the bearings"
AU01678 	using the retrieval
AU01678 	           system.  Examine the grease for changes of colour.  [_ _]
AU01678 	     (g) Monitor the fan and motor for abnormal noises.      [_ _]
AU01678 	     (h) Stop the fan motor using Local EMERGENCY STOP pushbutton.
AU01678 	     (i)  Release the EMERGENCY STOP pushbutton.
